Sample,Chimney,hydB2,hydA2,hydB3,hydA3,mvhG,mvhD,mvhA,hdrC2,hdrB2,hdrA2,mbhL,cooC,cdhD,cdhE,acsB,acsE,metF,folD,fhs,fdhB,fdhA,cooS
LC18d018 MG,Camel Humps,0,0,36.7716,38.1325,0.247543,0.197006,0,6.55663,8.02213,9.71071,2.12179,18.9033,5.39382,9.64676,7.98476,6.89445,392.8019,636.778,334.492,5.93856,9.86654,14.8607
LC18d019 MG,Camel Humps,0,0,2.98678,2.8936,0.34861,0.0693601,0.619951,6.31157,9.76756,5.12828,2.55232,8.55679,5.27502,4.26208,2.50563,1.01791,385.5692,730.213,482.071,1.09518,13.781,3.62048
LC18d009 MT,Sombrero MT,0,0,10.4821,25.1108,5.54458,1.8386,6.57347,7.7457,3.53544,25.354,0,95.7699,116.339,76.9671,49.5716,9.96291,61.08865,347.217,269.173,2.81513,9.78177,14.9809
LC18d009 MG,Sombrero,0.0427197,0.043913,13.2134,14.3136,1.50373,0.43518,4.21384,17.2334,43.1016,34.3146,35.0546,108.058,93.5805,93.594,21.8079,7.55338,493.4958,866.531,357.236,14.7318,20.4728,48.0283
LC18d010 MG,Sombrero,0,0,3.67518,4.1976,0.987003,0.280537,2.17315,15.9787,24.5288,27.3433,30.5669,98.7003,82.1847,75.7959,22.5429,8.67758,152.9949,296.354,148.602,3.67792,11.2031,34.5016
LC18d011 MG,Sombrero,0.0421667,0,9.7533,9.72337,8.09601,1.77188,18.8768,17.1912,35.8326,35.3827,27.3722,116.043,108.295,101.353,32.2174,7.69806,349.9885,709.365,371.651,7.88713,25.6565,39.4086
LC18d016 MG,Sombrero,0.0353355,0.0726451,7.25902,8.22155,12.6642,2.87966,21.7171,11.5249,25.1926,20.6471,15.8303,47.0798,41.0636,40.0904,22.9939,7.8224,414.8594,776.493,472.745,3.35851,27.0118,29.845
LC18d017 MG,Sombrero,0.154779,0.0636411,6.44298,7.90074,8.12282,2.28624,17.1464,9.96364,28.0893,19.9385,15.8494,47.0079,38.1324,36.9381,19.0326,5.25089,423.1982,766.66,459.493,5.95993,24.8806,33.8742
LC18d001 MG,Marker 3,0,0,0.0564221,0.105999,1.03904,0.206729,0,42.8141,51.6774,48.2567,122.31,335.42,263.254,250.173,66.4842,38.1339,21.403775,184.135,80.9305,0.356094,37.1096,79.2999
LC18d002 MG,Marker 3,0,0,0.0274396,0.036152,0.974532,0.155116,0,36.2897,54.8586,30.0146,103.045,302.341,226.856,243.429,60.6141,34.5553,37.3221123,204.276,60.9018,0.160809,42.3833,91.5824
LC18d007 MG,Calypso,0,0,0.522422,0.655333,115.348,9.14828,135.455,24.1585,36.2172,262.497,20.1181,446.229,391.247,360.354,174.749,41.5785,232.8561,1069.74,901.954,7.20066,188.886,335.694
LC18d008 MG,Calypso,0,0,0.370452,0.645343,92.8139,8.46972,118.529,26.8983,35.6495,220.438,14.1801,379.833,340.529,303.936,137.234,33.4653,296.9715,994.154,817.374,5.92298,154.495,246.351
LC18d003 MT,Marker 2 MT,0,0,0,0,386.957,17.7557,345.156,52.7289,18.2729,55.853,0,146.297,223.142,174.111,60.2697,0,135.233,141.882,408.983,0,139.373,90.6062
LC18d003 MG,Marker 2,0,0,0.925732,1.34389,17.0478,1.35674,9.09508,6.00151,10.5506,37.5181,2.73982,48.0437,40.2417,37.4513,16.1382,5.74364,354.0788,782.391,386.94,1.78522,20.2733,21.8073
LC18d004 MG,Marker 2,0,0,1.57668,2.3303,5.02535,0,2.38316,8.7614,15.8333,9.97417,0.717907,19.1877,5.47499,10.7519,3.87626,1.80599,473.7529,755.817,377.926,0.574088,16.9434,5.34635
