Sample,Chimney,Methanosarcinaceae MAG-1276,Methanocellales MAG-838,ANME-1 MAG-1099,Bipolaricaulota MAG-1207,Bipolaricaulota MAG-1260,Bipolaricaulota MAG-1503,Thermodesulfovibrionales MAG-1293,Desulfotomaculum MAG-1144,Desulfotomaculum MAG-1580,Natronincolaceae MAG-2163,Dehalococcoidia MAG-844,Dehalococcoidia MAG-2669,NPL-UPA2 MAG-1083,NPL-UPA2 MAG-718,Paceibacteria MAG-302,Gracilibacteria MAG-435,WOR-3 MAG-1066
LC18d018 MG,Camel Humps,65.5760692,0,0.043278272,2.588220446,0.130651072,0.503416588,1.216847383,12.02976203,0.453588123,1.196318239,0.354744432,23.15801356,0.007760029,0.010838032,0.536057076,31.3002679,0.960140648
LC18d019 MG,Camel Humps,47.61241066,0.001305805,0.184168256,4.029844846,0.578290352,2.153134632,1.115816639,14.40044695,0.993599278,0.626934569,1.353486949,78.98789611,0.091357125,0.143762826,1.42519358,9.125492176,2.494829224
LC18d009 MT,Sombrero MT,107.6568131,0,0.396705086,283.9702218,39.12839659,37.68393926,18.54867493,31.25714997,1.982512924,0.141087979,395.1925077,82.39017942,0.564316194,2.435053914,1.574511442,0.386131641,21.48789072
LC18d009 MG,Sombrero,1411.269537,0,3.173507138,278.045336,40.91982335,19.44965234,7.420522348,341.2474387,148.0501556,29.72612182,63.95303624,24.45664531,1.484990076,9.838899214,32.40500138,72.33657221,129.6762148
LC18d010 MG,Sombrero,851.2511944,0.016194434,2.365039775,151.7976076,14.16189952,6.081573571,31.54524107,143.8804439,11.9349178,12.41960124,40.61948623,6.347674935,1.617261933,9.290816735,24.2084071,12.69177648,217.8693756
LC18d011 MG,Sombrero,780.6219394,0.008441458,4.38189921,328.5428101,15.95306041,61.5036441,26.30571719,301.673604,7.526594414,15.74400487,157.21287,53.07835936,1.908910208,10.96082875,22.55699536,23.29826425,206.5787631
LC18d016 MG,Sombrero,212.379883,0.006799963,0.643821025,56.631496,6.986557749,69.24633757,5.713885251,189.3960821,12.81187692,3.836420082,37.91598664,46.56078193,0.77137764,2.785279324,11.02129971,19.05548467,34.85902761
LC18d017 MG,Sombrero,367.401186,0,0.98353926,71.51818823,4.57989113,54.4743687,9.378177248,272.8804646,14.00782293,4.680166216,34.99109308,49.71215543,0.919124646,2.8497346,15.53596654,20.3076337,45.07753691
LC18d001 MG,Marker 3,5637.697763,0.001813702,27.02522346,134.9659069,29.74490091,0.084614258,649.1445042,70.44218272,1.227395904,0.71002907,14.55772111,0.070564977,4.018017421,35.35637039,185.8430417,0.442572073,216.563224
LC18d002 MG,Marker 3,6734.419741,0,16.85349983,104.8767739,26.53077104,0.038871094,758.0281608,165.781219,1.314911077,0.627322374,9.749729001,0.068015608,2.768488623,31.74628082,208.8396577,0.258288326,213.434833
LC18d007 MG,Calypso,220.4573135,7.484204738,167.5756425,342.9155546,39.17919659,2.752639776,1690.949511,316.5135127,8.802767054,0.62089988,1456.842025,74.07292541,78.77607868,13.11575861,41.64463831,0.329828866,11.03557117
LC18d008 MG,Calypso,163.6245282,4.938482526,120.0413625,340.5737308,34.14698709,2.081024958,1059.46557,191.5689423,4.385537515,0.339767668,1079.30709,76.89252663,54.5654224,10.74423309,29.66105572,0.210074633,7.325370135
LC18d003 MT,Marker 2 MT,2.110006019,0,150.6495481,7.346804535,2.607247023,49.46400151,2.264392547,9.636989351,0,0,289.4044076,8.414266801,0.367415353,0.107035962,0.001635981,0,1.84597547
LC18d003 MG,Marker 2,21.09241041,0.061500965,19.15548108,22.18367907,1.504024861,1.710348496,34.01677419,59.81134236,0.299715448,0.314005965,95.53521984,54.91898104,3.914582143,2.20230396,10.98105461,1.511458172,4.260203596
LC18d004 MG,Marker 2,10.67137028,0.007233454,2.517658186,9.760550404,0.416700297,0.399476992,15.51673813,11.584554,0.081900323,0.044498227,15.72578502,79.79391134,0.43215158,0.878431889,1.323969013,1.147438289,1.746790049
