Sample,Chimney,cydA,ccoN,coxA,nosZ,norB,nirK,nirB,napA,narG,rbcL,aclA,acsB,cdhB,cdhA,soxY,dsrA,pmoA,mcrA
LC18d018 MG,Camel Humps,1054.86,510.603,376.794,11.4909,28.636,81.1251,734.276,123.292,134.821,89.973,77.671,7.98476,2.28988,16.3632,95.1139,96.7597,19.1138,3.93344
LC18d019 MG,Camel Humps,232.831,171.835,275.383,0.955495,2.62619,147.919,227.751,5.50534,25.1923,31.084,10.1667,2.50563,2.38196,12.3111,35.3887,43.8291,67.5089,3.05136
LC18d009 MT,Sombrero MT,649.304,574.164,107.691,1.40114,3.14644,908.277,439.899,9.72904,512.138,1041.01,17.5844,49.5716,24.6735,256.891,80.4397,132.701,198.12,152.562
LC18d009 MG,Sombrero,1025.14,807.763,88.3476,7.39805,4.28222,66.0586,1205.11,41.6547,114.737,149.304,30.5652,21.8079,32.2177,307.361,91.6771,105.729,18.1351,47.6044
LC18d010 MG,Sombrero,281.892,184.554,94.8789,1.21695,1.6083,18.0123,287.045,9.79183,24.7771,32.0418,13.2112,22.5429,28.5171,265.186,23.8212,60.4913,6.71766,43.4047
LC18d011 MG,Sombrero,592.729,427.248,150.945,1.14885,2.35459,48.6924,595.109,25.844,28.0042,65.8941,19.5921,32.2174,27.9142,329.652,56.8087,101.064,23.2206,36.9945
LC18d016 MG,Sombrero,528.713,324.489,248.073,2.57168,4.54303,119.209,463.175,19.4594,47.4051,57.9479,23.0601,22.9939,10.5549,94.8127,57.4482,116.694,44.026,12.0594
LC18d017 MG,Sombrero,884.301,355.036,216.129,4.36723,7.11669,102.75,602.389,17.7294,79.5569,69.0726,20.3249,19.0326,13.9117,110.688,76.949,123.125,39.8712,16.7542
LC18d001 MG,Marker 3,13.5246,5.82669,0.680973,0.0727116,0.0884451,0.294309,10.187,0.357627,0.734655,1.13599,0.386836,66.4842,118.091,632.635,1.40126,76.7085,0.0426748,105.75
LC18d002 MG,Marker 3,12.4797,2.37607,0.399185,0.03031,0.116136,0.312842,4.34664,0.105231,0.797131,0.557725,0.0537512,60.6141,83.647,422.458,0.477915,74.4818,0.0800508,74.5216
LC18d007 MG,Calypso,87.6631,63.3735,153.772,0.377252,2.33819,97.5384,56.3364,2.37771,19.6411,18.0061,4.61104,174.749,48.1454,1042.87,18.205,322.602,46.108,24.7936
LC18d008 MG,Calypso,89.8766,77.8852,183.101,0.286443,1.61146,83.9413,44.2957,2.46548,25.8343,22.0277,2.62452,137.234,38.8323,897.798,22.0807,256.092,43.8359,20.7525
LC18d003 MT,Marker 2 MT,1198.96,120.683,277.982,0,61.8922,366.113,1233.17,0,524.806,16.8835,0,60.2697,50.5957,930.631,38.2042,195.701,9.61383,1031.91
LC18d003 MG,Marker 2,1418.67,207.134,260.905,1.49125,5.22412,158.385,272.787,5.6951,108.306,12.0805,4.23128,16.1382,6.63056,110.374,19.6467,50.2821,67.567,1.83653
LC18d004 MG,Marker 2,1755.34,258.122,269.968,0.761957,2.73772,87.9684,312.353,8.54663,50.3716,22.7096,4.9892,3.87626,1.05652,21.8425,36.474,68.8707,36.3261,0.812059
