locus_tag	ftype	length_bp	gene	EC_number	COG	product
Patescibacteria_metaspades_Bin_5_3-contigs_00001	CDS	1323	dnaG	2.7.7.-		DNA primase
Patescibacteria_metaspades_Bin_5_3-contigs_00002	CDS	1263	sigA		COG0568	RNA polymerase sigma factor SigA
Patescibacteria_metaspades_Bin_5_3-contigs_00003	CDS	714		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
Patescibacteria_metaspades_Bin_5_3-contigs_00004	CDS	1167	nagZ	3.2.1.52		Beta-hexosaminidase
Patescibacteria_metaspades_Bin_5_3-contigs_00005	CDS	549	bdbC			disulfide formation protein
Patescibacteria_metaspades_Bin_5_3-contigs_00006	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
Patescibacteria_metaspades_Bin_5_3-contigs_00007	CDS	390	rpsH		COG0096	30S ribosomal protein S8
Patescibacteria_metaspades_Bin_5_3-contigs_00008	CDS	537	rplF		COG0097	50S ribosomal protein L6
Patescibacteria_metaspades_Bin_5_3-contigs_00009	CDS	351	rplR		COG0256	50S ribosomal protein L18
Patescibacteria_metaspades_Bin_5_3-contigs_00010	CDS	810				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00011	CDS	441	rplO			50S ribosomal protein L15
Patescibacteria_metaspades_Bin_5_3-contigs_00012	CDS	1272	secY		COG0201	Protein translocase subunit SecY
Patescibacteria_metaspades_Bin_5_3-contigs_00013	CDS	507				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00014	CDS	465				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00015	CDS	2145	fusA		COG0480	Elongation factor G
Patescibacteria_metaspades_Bin_5_3-contigs_00016	CDS	2745				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00017	CDS	474	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
Patescibacteria_metaspades_Bin_5_3-contigs_00018	CDS	1401		3.1.-.-	COG1236	Ribonuclease
Patescibacteria_metaspades_Bin_5_3-contigs_00019	CDS	207				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00020	CDS	1920	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
Patescibacteria_metaspades_Bin_5_3-contigs_00021	CDS	582	tmk	2.7.4.9		Thymidylate kinase
Patescibacteria_metaspades_Bin_5_3-contigs_00022	CDS	579				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00023	CDS	1362	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
Patescibacteria_metaspades_Bin_5_3-contigs_00024	CDS	147				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00025	tRNA	75				tRNA-Asp(gtc)
Patescibacteria_metaspades_Bin_5_3-contigs_00026	tRNA	74				tRNA-Thr(ggt)
Patescibacteria_metaspades_Bin_5_3-contigs_00027	CDS	585				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00028	CDS	714	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
Patescibacteria_metaspades_Bin_5_3-contigs_00029	CDS	777				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00030	CDS	2343	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
Patescibacteria_metaspades_Bin_5_3-contigs_00031	CDS	723	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
Patescibacteria_metaspades_Bin_5_3-contigs_00032	CDS	1875	rnjA	3.1.-.-	COG0595	Ribonuclease J1
Patescibacteria_metaspades_Bin_5_3-contigs_00033	CDS	549		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
Patescibacteria_metaspades_Bin_5_3-contigs_00034	CDS	318				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00035	CDS	321				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00036	CDS	177				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00037	CDS	1713	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
Patescibacteria_metaspades_Bin_5_3-contigs_00038	CDS	822				hypothetical protein
Patescibacteria_metaspades_Bin_5_3-contigs_00039	CDS	417	atpC		COG0355	ATP synthase epsilon chain
Patescibacteria_metaspades_Bin_5_3-contigs_00040	CDS	1392	atpD_1	7.1.2.2	COG0055	ATP synthase subunit beta
Patescibacteria_metaspades_Bin_5_3-contigs_00041	CDS	873	atpG			ATP synthase gamma chain, sodium ion specific
