locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00001	CDS	1116	ribD		COG0117	Riboflavin biosynthesis protein RibD
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00002	CDS	645	ribE	2.5.1.9	COG0307	Riboflavin synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00003	CDS	1203	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00004	CDS	1254	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00005	CDS	1305	aspS2	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00006	CDS	978			COG1702	PhoH-like protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00007	CDS	396	rpsK			30S ribosomal protein S11
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00008	CDS	369	rpsM		COG0099	30S ribosomal protein S13
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00009	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00010	CDS	219	infA		COG0361	Translation initiation factor IF-1
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00011	CDS	747	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00012	CDS	654	adk	2.7.4.3		Adenylate kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00013	CDS	372	secY		COG0201	Protein translocase subunit SecY
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00014	CDS	444				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00015	CDS	240				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00016	CDS	117				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00017	CDS	1266				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00018	CDS	747	cysE	2.3.1.30		Serine acetyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00019	CDS	474	ywlE	3.9.1.2	COG0394	Protein-arginine-phosphatase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00020	CDS	450	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00021	CDS	444				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00022	CDS	1245	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00023	CDS	495				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00024	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00025	CDS	2418	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00026	CDS	282				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00027	CDS	726	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00028	CDS	555				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00029	CDS	1281	mggS	2.4.1.-		Mannosylglucosylglycerate synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00030	CDS	771	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00031	CDS	945				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00032	CDS	939	trxB	1.8.1.9	COG0492	Thioredoxin reductase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00033	CDS	102				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00034	CDS	534	def	3.5.1.88	COG0242	Peptide deformylase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00035	CDS	753				putative ABC transporter ATP-binding protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00036	CDS	1224				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00037	CDS	534	hrb		COG1773	High molecular weight rubredoxin
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00038	CDS	990	ilvC	1.1.1.382		Ketol-acid reductoisomerase (NAD(+))
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00039	CDS	1521	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00040	CDS	690				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00041	CDS	468	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00042	CDS	177				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00043	tRNA	75				tRNA-Phe(gaa)
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00044	tRNA	73				tRNA-Thr(cgt)
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00045	CDS	291				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00046	CDS	1266	proS	6.1.1.15	COG0442	Proline--tRNA ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00047	CDS	249	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00048	CDS	837	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00049	CDS	1185	aroC	4.2.3.5	COG0082	Chorismate synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00050	CDS	510	aroK	2.7.1.71	COG0703	Shikimate kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00051	CDS	534				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00052	tRNA	76				tRNA-Arg(tct)
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00053	CDS	1251				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00054	CDS	537	cobO	2.5.1.17		Corrinoid adenosyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00055	CDS	1467	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00056	CDS	1161	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00057	CDS	1017	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00058	CDS	1224	ctpB	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpB
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00059	CDS	618				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00060	CDS	1335				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00061	CDS	318				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00062	CDS	1134	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00063	CDS	648				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00064	CDS	1131	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00065	CDS	468				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00066	CDS	996	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00067	CDS	762	scpA		COG1354	Segregation and condensation protein A
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00068	CDS	573	scpB			Segregation and condensation protein B
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00069	CDS	1110	pheA			Bifunctional chorismate mutase/prephenate dehydratase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00070	CDS	1086	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00071	CDS	474				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00072	CDS	423				Single-stranded DNA-binding protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00073	CDS	270				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00074	CDS	444	rplI		COG0359	50S ribosomal protein L9
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00075	CDS	1365	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00076	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00077	CDS	744	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00078	CDS	858				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00079	CDS	1362	radA	3.6.4.-	COG1066	DNA repair protein RadA
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00080	CDS	3120				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00081	CDS	543	rsxG	7.-.-.-		Ion-translocating oxidoreductase complex subunit G
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00082	CDS	753	recO		COG1381	DNA repair protein RecO
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00083	CDS	966	thiL_1	2.7.4.16	COG0611	Thiamine-monophosphate kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00084	CDS	822	dnaJ			Chaperone protein DnaJ
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00085	CDS	567	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00086	CDS	255				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00087	tRNA	76				tRNA-Asn(gtt)
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00088	CDS	345	recR		COG0353	Recombination protein RecR
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00089	CDS	873	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00090	CDS	1821	uvrC		COG0322	UvrABC system protein C
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00091	CDS	306	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00092	CDS	150				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00093	CDS	1596	pyrG	6.3.4.2		CTP synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00094	CDS	831				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00095	CDS	384				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00096	CDS	120				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00097	CDS	2046	recG	3.6.4.12		ATP-dependent DNA helicase RecG
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00098	CDS	681	rplY			50S ribosomal protein L25
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00099	CDS	1413	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00100	CDS	1521	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00101	CDS	1374	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00102	CDS	1455	PSK	2.7.1.47	COG1070	D-ribulose kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00103	CDS	243				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00104	CDS	597	gmk	2.7.4.8	COG0194	Guanylate kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00105	CDS	723				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00106	CDS	684	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00107	CDS	903	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00108	CDS	1284	bzaF	4.1.99.23	COG0422	5-hydroxybenzimidazole synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00109	CDS	900	RBKS	2.7.1.15		Ribokinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00110	CDS	951				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00111	CDS	405				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00112	CDS	1152				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00113	CDS	900	btuF		COG0614	Vitamin B12-binding protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00114	CDS	1026	hmuU		COG0609	Hemin transport system permease protein HmuU
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00115	CDS	840	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00116	CDS	750				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00117	CDS	2172	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00118	CDS	738	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00119	CDS	651				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00120	tRNA	73				tRNA-Arg(ccg)
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00121	CDS	738	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00122	CDS	1443	rpoN		COG1508	RNA polymerase sigma-54 factor
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00123	CDS	987	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00124	CDS	348	rbfA			Ribosome-binding factor A
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00125	CDS	282				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00126	CDS	1932	infB			Translation initiation factor IF-2
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00127	CDS	723	nusA			Transcription termination/antitermination protein NusA
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00128	CDS	1377				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00129	CDS	1986	priA	3.6.4.-		primosomal protein N'
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00130	CDS	945		5.1.3.2	COG1088	UDP-glucose 4-epimerase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00131	CDS	948	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00132	CDS	1002	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00133	CDS	1299	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00134	CDS	2097	lptD			LPS-assembly protein LptD
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00135	CDS	966	glcK	2.7.1.2	COG1940	Glucokinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00136	CDS	1248		2.3.3.3		Citrate (Re)-synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00137	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00138	CDS	678		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00139	CDS	306				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00140	CDS	231				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00141	CDS	318				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00142	CDS	399				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00143	CDS	174				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00144	CDS	678				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00145	CDS	279	mfd	3.6.4.-		Transcription-repair-coupling factor
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00146	CDS	990	prfB			Peptide chain release factor 2
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00147	CDS	966	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00148	CDS	600				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00149	CDS	630	tmk	2.7.4.9	COG0125	Thymidylate kinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00150	CDS	1203				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00151	CDS	894				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00152	rRNA	108				5S ribosomal RNA
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00153	CDS	318				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00154	CDS	762	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00155	CDS	1032	hflK		COG0330	Modulator of FtsH protease HflK
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00156	CDS	813				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00157	CDS	126				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00158	CDS	165				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00159	CDS	300	zraR		COG2204	Transcriptional regulatory protein ZraR
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00160	CDS	336				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00161	CDS	726				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00162	CDS	291	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00163	CDS	465	fruA		COG1299	PTS system fructose-specific EIIABC component
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00164	CDS	279				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00165	CDS	1752	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00166	CDS	1062				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00167	CDS	747	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00168	CDS	1146	metK	2.5.1.6		S-adenosylmethionine synthase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00169	CDS	1257	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00170	CDS	543	rplE			50S ribosomal protein L5
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00171	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00172	CDS	399	rpsH		COG0096	30S ribosomal protein S8
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00173	CDS	549	rplF			50S ribosomal protein L6
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00174	CDS	429	rplR			50S ribosomal protein L18
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00175	CDS	492	rpsE			30S ribosomal protein S5
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00176	CDS	486	rplO			50S ribosomal protein L15
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00177	CDS	231				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00178	CDS	483	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00179	CDS	2265	pflB	2.3.1.54		Formate acetyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00180	CDS	726	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00181	tRNA	75				tRNA-Ala(ggc)
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00182	CDS	798	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00183	CDS	795	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00184	CDS	1359	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00185	CDS	564				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00186	CDS	1071				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00187	CDS	210				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00188	CDS	663				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00189	CDS	651				hypothetical protein
NPL-UPA2_metaspades_Bin_8_1_1-contigs_00190	CDS	249				hypothetical protein
