locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPL-UPA2_metaspades_Bin_5_1-contigs_00001	CDS	756				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00002	CDS	2691				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00003	CDS	489				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00004	CDS	1017				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00005	CDS	1524				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00006	CDS	966				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00007	CDS	1017				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00008	CDS	972	acsD		COG2069	Corrinoid/iron-sulfur protein small subunit
NPL-UPA2_metaspades_Bin_5_1-contigs_00009	CDS	582		2.3.1.169	COG1152	Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit alpha
NPL-UPA2_metaspades_Bin_5_1-contigs_00010	CDS	708		2.3.1.169	COG1152	Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit alpha
NPL-UPA2_metaspades_Bin_5_1-contigs_00011	CDS	1389	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
NPL-UPA2_metaspades_Bin_5_1-contigs_00012	CDS	288				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00013	CDS	375	tolQ			Tol-Pal system protein TolQ
NPL-UPA2_metaspades_Bin_5_1-contigs_00014	CDS	369				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00015	CDS	171				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00016	CDS	222				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00017	CDS	411				hypothetical protein
NPL-UPA2_metaspades_Bin_5_1-contigs_00018	CDS	936	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
NPL-UPA2_metaspades_Bin_5_1-contigs_00019	CDS	945				hypothetical protein
