locus_tag	ftype	length_bp	gene	EC_number	COG	product
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00001	CDS	867	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00002	CDS	414	nusB		COG0781	Transcription antitermination protein NusB
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00003	CDS	933				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00004	CDS	477				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00005	CDS	1206				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00006	CDS	219	nfuA			Fe/S biogenesis protein NfuA
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00007	CDS	240				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00008	CDS	372				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00009	CDS	300				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00010	CDS	663				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00011	CDS	2124				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00012	CDS	363				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00013	CDS	924	mshD	2.3.1.189	COG0456	Mycothiol acetyltransferase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00014	CDS	1365				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00015	CDS	606				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00016	tRNA	74				tRNA-Ala(tgc)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00017	CDS	1050	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00018	CDS	267	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00019	CDS	513				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00020	CDS	1032		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00021	CDS	1170	smtA	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase alpha subunit
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00022	CDS	1251	bbsF	2.8.3.15		Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00023	CDS	387	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00024	CDS	654				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00025	CDS	345	speH_1	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00026	CDS	840				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00027	CDS	357				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00028	CDS	837				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00029	CDS	633				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00030	CDS	195				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00031	CDS	1035	cysK	2.5.1.47		Cysteine synthase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00032	CDS	330				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00033	tRNA	86				tRNA-Leu(cag)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00034	tRNA	78				tRNA-Arg(gcg)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00035	tRNA	77				tRNA-Val(tac)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00036	tRNA	74				tRNA-Gln(ctg)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00037	tRNA	75				tRNA-Glu(ctc)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00038	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00039	CDS	279				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00040	CDS	597		3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00041	CDS	840				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00042	CDS	495	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00043	CDS	1149	tkt	2.2.1.1		Transketolase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00044	CDS	429			COG0325	Pyridoxal phosphate homeostasis protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00045	CDS	372	hflC		COG0330	Modulator of FtsH protease HflC
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00046	CDS	378	dnaJ_1			Chaperone protein DnaJ
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00047	tRNA	77				tRNA-Ile(gat)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00048	CDS	678	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00049	CDS	144				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00050	tRNA	75				tRNA-Arg(cct)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00051	tRNA	77				tRNA-Trp(cca)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00052	tRNA	87				tRNA-Leu(gag)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00053	tRNA	75				tRNA-Gly(ccc)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00054	tRNA	76				tRNA-Cys(gca)
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00055	CDS	384				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00056	CDS	732	bioB	2.8.1.6		Biotin synthase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00057	CDS	414				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00058	CDS	342				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00059	CDS	249	lemA		COG1704	Protein LemA
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00060	CDS	207				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00061	CDS	1017	grdE	1.21.4.2		Glycine reductase complex component B subunits alpha and beta
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00062	CDS	1050	grdB_1	1.21.4.2		Glycine reductase complex component B subunit gamma
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00063	CDS	231	grdB_2	1.21.4.2		Glycine reductase complex component B subunit gamma
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00064	CDS	798				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00065	CDS	336	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00066	CDS	210	yidD		COG0759	Putative membrane protein insertion efficiency factor
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00067	CDS	1101	bamB_1			Outer membrane protein assembly factor BamB
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00068	CDS	912	yidC			Membrane protein insertase YidC
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00069	CDS	660				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00070	CDS	3228	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00071	CDS	1056	htrA			Putative serine protease HtrA
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00072	CDS	978				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00073	CDS	912	xerD			Tyrosine recombinase XerD
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00074	CDS	429				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00075	CDS	822	nadK	2.7.1.23		NAD kinase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00076	CDS	477	argA	2.3.1.1	COG1246	Amino-acid acetyltransferase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00077	CDS	558	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00078	CDS	552	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00079	CDS	1425	spuC	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00080	CDS	381	gdhA	1.4.1.3	COG0334	Glutamate dehydrogenase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00081	CDS	762	crt	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00082	CDS	291				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00083	CDS	162				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00084	CDS	1359	hemL2	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase 2
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00085	CDS	939				hypothetical protein
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00086	CDS	852	panB_1	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00087	CDS	1359	yeeO		COG0534	putative FMN/FAD exporter YeeO
Chloroflexi_metaspades_Bin_1_1_1_1-contigs_00088	CDS	576				hypothetical protein
