locus_tag	ftype	length_bp	gene	EC_number	COG	product
UBA7950_metaspades_Bin_2-contigs_00001	CDS	237	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
UBA7950_metaspades_Bin_2-contigs_00002	CDS	2370	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
UBA7950_metaspades_Bin_2-contigs_00003	CDS	810	purQ	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurQ
UBA7950_metaspades_Bin_2-contigs_00004	CDS	1110	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
UBA7950_metaspades_Bin_2-contigs_00005	CDS	105				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00006	CDS	2031	purC	6.3.2.6		Phosphoribosylaminoimidazole-succinocarboxamide synthase
UBA7950_metaspades_Bin_2-contigs_00007	CDS	1488	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
UBA7950_metaspades_Bin_2-contigs_00008	CDS	1128				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00009	CDS	1041				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00010	tRNA	90				tRNA-Ser(gga)
UBA7950_metaspades_Bin_2-contigs_00011	CDS	453	ohrR			Organic hydroperoxide resistance transcriptional regulator
UBA7950_metaspades_Bin_2-contigs_00012	CDS	1365	yeeO		COG0534	putative FMN/FAD exporter YeeO
UBA7950_metaspades_Bin_2-contigs_00013	CDS	1569	nfdA	3.5.1.91		N-substituted formamide deformylase
UBA7950_metaspades_Bin_2-contigs_00014	CDS	708		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
UBA7950_metaspades_Bin_2-contigs_00015	CDS	1029	ord_1	1.4.1.26		2,4-diaminopentanoate dehydrogenase
UBA7950_metaspades_Bin_2-contigs_00016	CDS	684	fliA			RNA polymerase sigma factor FliA
UBA7950_metaspades_Bin_2-contigs_00017	CDS	1179				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00018	CDS	102				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00019	CDS	1224	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
UBA7950_metaspades_Bin_2-contigs_00020	CDS	807	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
UBA7950_metaspades_Bin_2-contigs_00021	CDS	312	hup_1			DNA-binding protein HU
UBA7950_metaspades_Bin_2-contigs_00022	CDS	1677	rpsA		COG0539	30S ribosomal protein S1
UBA7950_metaspades_Bin_2-contigs_00023	CDS	651	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
UBA7950_metaspades_Bin_2-contigs_00024	CDS	615	cmk	2.7.4.25	COG0283	Cytidylate kinase
UBA7950_metaspades_Bin_2-contigs_00025	CDS	909	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
UBA7950_metaspades_Bin_2-contigs_00026	CDS	1230	hutI	3.5.2.7	COG1228	Imidazolonepropionase
UBA7950_metaspades_Bin_2-contigs_00027	CDS	3435	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
UBA7950_metaspades_Bin_2-contigs_00028	CDS	1314				Gluconeogenesis factor
UBA7950_metaspades_Bin_2-contigs_00029	CDS	1461	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
UBA7950_metaspades_Bin_2-contigs_00030	CDS	282	tusB			Protein TusB
UBA7950_metaspades_Bin_2-contigs_00031	CDS	351				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00032	CDS	354	dsrE	2.8.1.-	COG1553	Putative sulfurtransferase DsrE
UBA7950_metaspades_Bin_2-contigs_00033	CDS	897	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
UBA7950_metaspades_Bin_2-contigs_00034	CDS	351				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00035	CDS	660				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00036	CDS	1965	fusA_1		COG0480	Elongation factor G
UBA7950_metaspades_Bin_2-contigs_00037	CDS	441				Protein archease
UBA7950_metaspades_Bin_2-contigs_00038	CDS	798				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00039	CDS	387	cdd	3.5.4.5	COG0295	Cytidine deaminase
UBA7950_metaspades_Bin_2-contigs_00040	CDS	1893	tolB_1			Tol-Pal system protein TolB
UBA7950_metaspades_Bin_2-contigs_00041	CDS	384				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00042	CDS	435				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00043	CDS	375				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00044	CDS	387				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00045	CDS	411				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00046	CDS	408				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00047	CDS	633	apu			Amylopullulanase
UBA7950_metaspades_Bin_2-contigs_00048	CDS	2217				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00049	CDS	1203	nagC_1		COG1940	N-acetylglucosamine repressor
UBA7950_metaspades_Bin_2-contigs_00050	CDS	1119	alr1_1	5.1.1.1	COG0787	Alanine racemase 1
UBA7950_metaspades_Bin_2-contigs_00051	CDS	1572	dan	3.5.1.81		D-aminoacylase
UBA7950_metaspades_Bin_2-contigs_00052	CDS	1776	dag	3.5.1.82		N-acyl-D-glutamate deacylase
UBA7950_metaspades_Bin_2-contigs_00053	CDS	819	dppA_1	3.4.11.-	COG2362	D-aminopeptidase
UBA7950_metaspades_Bin_2-contigs_00054	CDS	525				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00055	CDS	327				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00056	CDS	312				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00057	CDS	261				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00058	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
UBA7950_metaspades_Bin_2-contigs_00059	CDS	888	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
UBA7950_metaspades_Bin_2-contigs_00060	tRNA	74				tRNA-Ala(cgc)
UBA7950_metaspades_Bin_2-contigs_00061	tRNA	75				tRNA-Met(cat)
UBA7950_metaspades_Bin_2-contigs_00062	tRNA	77				tRNA-Met(cat)
UBA7950_metaspades_Bin_2-contigs_00063	tRNA	77				tRNA-Met(cat)
UBA7950_metaspades_Bin_2-contigs_00064	tRNA	84				tRNA-Leu(taa)
UBA7950_metaspades_Bin_2-contigs_00065	tRNA	73				tRNA-Gly(gcc)
UBA7950_metaspades_Bin_2-contigs_00066	CDS	1035				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00067	CDS	1347	acsC		COG1456	Corrinoid/iron-sulfur protein large subunit
UBA7950_metaspades_Bin_2-contigs_00068	CDS	1209		2.3.1.169	COG1152	Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit alpha
UBA7950_metaspades_Bin_2-contigs_00069	CDS	537				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00070	CDS	375				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00071	CDS	2292				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00072	CDS	516	scpB		COG1386	Segregation and condensation protein B
UBA7950_metaspades_Bin_2-contigs_00073	CDS	753	scpA			Segregation and condensation protein A
UBA7950_metaspades_Bin_2-contigs_00074	CDS	2526	smc		COG1196	Chromosome partition protein Smc
UBA7950_metaspades_Bin_2-contigs_00075	CDS	516				hypothetical protein
UBA7950_metaspades_Bin_2-contigs_00076	CDS	2331	xdhA	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
UBA7950_metaspades_Bin_2-contigs_00077	CDS	516	ndhS_1	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
UBA7950_metaspades_Bin_2-contigs_00078	CDS	852	ndhF_1	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
