locus_tag	ftype	length_bp	gene	EC_number	COG	product
UBA3574_metaspades_Bin_1_1-contigs_00001	CDS	318				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00002	CDS	300				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00003	CDS	738				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00004	CDS	417			COG1959	Putative HTH-type transcriptional regulator
UBA3574_metaspades_Bin_1_1-contigs_00005	CDS	1218				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00006	CDS	1026	ahpF_1	1.6.99.3		NADH dehydrogenase
UBA3574_metaspades_Bin_1_1-contigs_00007	CDS	339				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00008	CDS	558	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
UBA3574_metaspades_Bin_1_1-contigs_00009	CDS	810	ramA	3.5.1.100		(R)-stereoselective amidase
UBA3574_metaspades_Bin_1_1-contigs_00010	CDS	315				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00011	CDS	1812	sat	2.7.7.4		Sulfate adenylyltransferase
UBA3574_metaspades_Bin_1_1-contigs_00012	CDS	1344				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00013	CDS	216				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00014	CDS	732				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00015	CDS	1137	thrC	4.2.3.1	COG0498	Threonine synthase
UBA3574_metaspades_Bin_1_1-contigs_00016	CDS	2394	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
UBA3574_metaspades_Bin_1_1-contigs_00017	CDS	1206	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
UBA3574_metaspades_Bin_1_1-contigs_00018	CDS	423	hit		COG0537	Protein hit
UBA3574_metaspades_Bin_1_1-contigs_00019	CDS	606	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
UBA3574_metaspades_Bin_1_1-contigs_00020	CDS	372				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00021	CDS	1005				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00022	CDS	732				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00023	CDS	432	hacB_1	4.2.1.33		Methanogen homoaconitase small subunit
UBA3574_metaspades_Bin_1_1-contigs_00024	CDS	420				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00025	CDS	2703	polA	2.7.7.7	COG0258	DNA polymerase I
UBA3574_metaspades_Bin_1_1-contigs_00026	CDS	462	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
UBA3574_metaspades_Bin_1_1-contigs_00027	CDS	474				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00028	CDS	447	rplI		COG0359	50S ribosomal protein L9
UBA3574_metaspades_Bin_1_1-contigs_00029	CDS	1563	murJ		COG0728	Lipid II flippase MurJ
UBA3574_metaspades_Bin_1_1-contigs_00030	CDS	591				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00031	CDS	306				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00032	CDS	411			COG1959	Putative HTH-type transcriptional regulator
UBA3574_metaspades_Bin_1_1-contigs_00033	CDS	1179	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
UBA3574_metaspades_Bin_1_1-contigs_00034	CDS	1839	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
UBA3574_metaspades_Bin_1_1-contigs_00035	CDS	1791				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00036	CDS	750				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00037	CDS	3867				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00038	CDS	933	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
UBA3574_metaspades_Bin_1_1-contigs_00039	CDS	1560	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
UBA3574_metaspades_Bin_1_1-contigs_00040	CDS	783	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
UBA3574_metaspades_Bin_1_1-contigs_00041	CDS	639	tal	2.2.1.2	COG0176	Transaldolase
UBA3574_metaspades_Bin_1_1-contigs_00042	CDS	333				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00043	CDS	861	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
UBA3574_metaspades_Bin_1_1-contigs_00044	CDS	1266	tolB_1			Tol-Pal system protein TolB
UBA3574_metaspades_Bin_1_1-contigs_00045	CDS	546	sigW		COG1595	ECF RNA polymerase sigma factor SigW
UBA3574_metaspades_Bin_1_1-contigs_00046	CDS	540				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00047	CDS	717				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00048	CDS	1848				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00049	CDS	516	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
UBA3574_metaspades_Bin_1_1-contigs_00050	CDS	1317				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00051	CDS	252				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00052	CDS	486		3.4.-.-		putative peptidase
UBA3574_metaspades_Bin_1_1-contigs_00053	CDS	990	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
UBA3574_metaspades_Bin_1_1-contigs_00054	CDS	1947	dapb3	3.4.14.-		Dipeptidyl aminopeptidase BIII
UBA3574_metaspades_Bin_1_1-contigs_00055	CDS	1398	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
UBA3574_metaspades_Bin_1_1-contigs_00056	tRNA	90				tRNA-Leu(cag)
UBA3574_metaspades_Bin_1_1-contigs_00057	CDS	675	crp_1		COG0664	CRP-like cAMP-activated global transcriptional regulator
UBA3574_metaspades_Bin_1_1-contigs_00058	CDS	1845	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
UBA3574_metaspades_Bin_1_1-contigs_00059	CDS	426	rcp1			Response regulator rcp1
UBA3574_metaspades_Bin_1_1-contigs_00060	CDS	723				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00061	CDS	576				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00062	CDS	411				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00063	CDS	483	napF_1			Ferredoxin-type protein NapF
UBA3574_metaspades_Bin_1_1-contigs_00064	CDS	315	hcnB	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
UBA3574_metaspades_Bin_1_1-contigs_00065	CDS	1143	soxB	1.5.3.1		Sarcosine oxidase subunit beta
UBA3574_metaspades_Bin_1_1-contigs_00066	CDS	177				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00067	CDS	573	cysE	2.3.1.30	COG1045	Serine acetyltransferase
UBA3574_metaspades_Bin_1_1-contigs_00068	CDS	927	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
UBA3574_metaspades_Bin_1_1-contigs_00069	CDS	354				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00070	CDS	1050	moaA_1			GTP 3',8-cyclase
UBA3574_metaspades_Bin_1_1-contigs_00071	CDS	684			COG0325	Pyridoxal phosphate homeostasis protein
UBA3574_metaspades_Bin_1_1-contigs_00072	CDS	855				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00073	CDS	96				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00074	CDS	732	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
UBA3574_metaspades_Bin_1_1-contigs_00075	CDS	810	mntB_2			Manganese transport system membrane protein MntB
UBA3574_metaspades_Bin_1_1-contigs_00076	CDS	468				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00077	CDS	396	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
UBA3574_metaspades_Bin_1_1-contigs_00078	CDS	1314	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
UBA3574_metaspades_Bin_1_1-contigs_00079	CDS	1230				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00080	CDS	924	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
UBA3574_metaspades_Bin_1_1-contigs_00081	CDS	930				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00082	CDS	591				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00083	CDS	1731		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
UBA3574_metaspades_Bin_1_1-contigs_00084	CDS	1329	moaA_2			GTP 3',8-cyclase
UBA3574_metaspades_Bin_1_1-contigs_00085	CDS	1053				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00086	CDS	603				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00087	CDS	381				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00088	CDS	297				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00089	CDS	93				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00090	CDS	630				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00091	CDS	213				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00092	CDS	108				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00093	CDS	1320				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00094	CDS	1374	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
UBA3574_metaspades_Bin_1_1-contigs_00095	CDS	744				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00096	CDS	231				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00097	CDS	732				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00098	CDS	507				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00099	CDS	462	mexR		COG1846	Multidrug resistance operon repressor
UBA3574_metaspades_Bin_1_1-contigs_00100	CDS	339				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00101	CDS	831				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00102	CDS	387				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00103	CDS	720	udgB	3.2.2.-	COG1573	Type-5 uracil-DNA glycosylase
UBA3574_metaspades_Bin_1_1-contigs_00104	CDS	387				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00105	CDS	1200	pcm	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
UBA3574_metaspades_Bin_1_1-contigs_00106	CDS	1461				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00107	tmRNA	358	ssrA			transfer-messenger RNA, SsrA
UBA3574_metaspades_Bin_1_1-contigs_00108	CDS	327				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00109	CDS	444				hypothetical protein
UBA3574_metaspades_Bin_1_1-contigs_00110	CDS	1500	nfdA	3.5.1.91		N-substituted formamide deformylase
UBA3574_metaspades_Bin_1_1-contigs_00111	CDS	1026	ywlC_1	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
UBA3574_metaspades_Bin_1_1-contigs_00112	CDS	516	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
UBA3574_metaspades_Bin_1_1-contigs_00113	tRNA	78				tRNA-Arg(tcg)
UBA3574_metaspades_Bin_1_1-contigs_00114	tRNA	75				tRNA-His(gtg)
