locus_tag	ftype	length_bp	gene	EC_number	COG	product
Thermodesulfo_metaspades_Bin_1-contigs_00001	CDS	693				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00002	CDS	474				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00003	CDS	1926	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
Thermodesulfo_metaspades_Bin_1-contigs_00004	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
Thermodesulfo_metaspades_Bin_1-contigs_00005	CDS	1542	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
Thermodesulfo_metaspades_Bin_1-contigs_00006	CDS	1461	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
Thermodesulfo_metaspades_Bin_1-contigs_00007	CDS	669	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
Thermodesulfo_metaspades_Bin_1-contigs_00008	CDS	849	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
Thermodesulfo_metaspades_Bin_1-contigs_00009	CDS	1611	rpsA		COG0539	30S ribosomal protein S1
Thermodesulfo_metaspades_Bin_1-contigs_00010	CDS	867	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
Thermodesulfo_metaspades_Bin_1-contigs_00011	CDS	474	rimP			Ribosome maturation factor RimP
Thermodesulfo_metaspades_Bin_1-contigs_00012	CDS	1104	nusA		COG0195	Transcription termination/antitermination protein NusA
Thermodesulfo_metaspades_Bin_1-contigs_00013	CDS	243				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00014	CDS	1095	miaB_1	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
Thermodesulfo_metaspades_Bin_1-contigs_00015	CDS	711	walR		COG0745	Transcriptional regulatory protein WalR
Thermodesulfo_metaspades_Bin_1-contigs_00016	CDS	1092	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
Thermodesulfo_metaspades_Bin_1-contigs_00017	CDS	513	aroK	2.7.1.71	COG0703	Shikimate kinase
Thermodesulfo_metaspades_Bin_1-contigs_00018	CDS	1332	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
Thermodesulfo_metaspades_Bin_1-contigs_00019	CDS	384				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00020	CDS	243				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00021	CDS	318				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00022	CDS	528				hypothetical protein
Thermodesulfo_metaspades_Bin_1-contigs_00023	CDS	1284	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
Thermodesulfo_metaspades_Bin_1-contigs_00024	CDS	1425	pyk	2.7.1.40		Pyruvate kinase
Thermodesulfo_metaspades_Bin_1-contigs_00025	CDS	858	dat	2.6.1.21		D-alanine aminotransferase
Thermodesulfo_metaspades_Bin_1-contigs_00026	CDS	1020	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
Thermodesulfo_metaspades_Bin_1-contigs_00027	CDS	1206	dsvA		COG2221	Sulfite reductase, dissimilatory-type subunit alpha
