locus_tag	ftype	length_bp	gene	EC_number	COG	product
Chloroflexi_metaspades_Bin_1_4-contigs_00001	CDS	1644	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
Chloroflexi_metaspades_Bin_1_4-contigs_00002	CDS	1125	dnaN_1			Beta sliding clamp
Chloroflexi_metaspades_Bin_1_4-contigs_00003	CDS	1362	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
Chloroflexi_metaspades_Bin_1_4-contigs_00004	CDS	1227	sigA		COG0568	RNA polymerase sigma factor SigA
Chloroflexi_metaspades_Bin_1_4-contigs_00005	tRNA	73				tRNA-Phe(gaa)
Chloroflexi_metaspades_Bin_1_4-contigs_00006	tRNA	75				tRNA-Val(tac)
Chloroflexi_metaspades_Bin_1_4-contigs_00007	tRNA	84				tRNA-Leu(gag)
Chloroflexi_metaspades_Bin_1_4-contigs_00008	CDS	507				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00009	CDS	612		5.4.99.-	COG0564	putative RNA pseudouridine synthase
Chloroflexi_metaspades_Bin_1_4-contigs_00010	tRNA	75				tRNA-Val(gac)
Chloroflexi_metaspades_Bin_1_4-contigs_00011	tRNA	75				tRNA-Ile(tat)
Chloroflexi_metaspades_Bin_1_4-contigs_00012	CDS	1941	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
Chloroflexi_metaspades_Bin_1_4-contigs_00013	CDS	1068	rpsA		COG0539	30S ribosomal protein S1
Chloroflexi_metaspades_Bin_1_4-contigs_00014	CDS	630				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00015	CDS	2538	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
Chloroflexi_metaspades_Bin_1_4-contigs_00016	CDS	519	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
Chloroflexi_metaspades_Bin_1_4-contigs_00017	CDS	396				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00018	CDS	210				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00019	CDS	1221				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00020	CDS	1641	groL_1			60 kDa chaperonin
Chloroflexi_metaspades_Bin_1_4-contigs_00021	CDS	126				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00022	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
Chloroflexi_metaspades_Bin_1_4-contigs_00023	CDS	630	tmk	2.7.4.9	COG0125	Thymidylate kinase
Chloroflexi_metaspades_Bin_1_4-contigs_00024	CDS	1656	glcA		COG1620	Glycolate permease GlcA
Chloroflexi_metaspades_Bin_1_4-contigs_00025	CDS	1176				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00026	CDS	1206	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
Chloroflexi_metaspades_Bin_1_4-contigs_00027	CDS	354				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00028	CDS	1191				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00029	CDS	474				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00030	CDS	738	yebC		COG0217	putative transcriptional regulatory protein YebC
Chloroflexi_metaspades_Bin_1_4-contigs_00031	CDS	489	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
Chloroflexi_metaspades_Bin_1_4-contigs_00032	CDS	1194				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00033	CDS	1011	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
Chloroflexi_metaspades_Bin_1_4-contigs_00034	CDS	324	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
Chloroflexi_metaspades_Bin_1_4-contigs_00035	CDS	1113	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
Chloroflexi_metaspades_Bin_1_4-contigs_00036	CDS	1629	gltX1	6.1.1.17	COG0008	Glutamate--tRNA ligase 1
Chloroflexi_metaspades_Bin_1_4-contigs_00037	CDS	951	xerD		COG4974	Tyrosine recombinase XerD
Chloroflexi_metaspades_Bin_1_4-contigs_00038	CDS	705	uppS	2.5.1.-	COG0020	Isoprenyl transferase
Chloroflexi_metaspades_Bin_1_4-contigs_00039	CDS	279				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00040	CDS	1620	pyrG_1	6.3.4.2		CTP synthase
Chloroflexi_metaspades_Bin_1_4-contigs_00041	CDS	456	rplI		COG0359	50S ribosomal protein L9
Chloroflexi_metaspades_Bin_1_4-contigs_00042	CDS	1221				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00043	CDS	576				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00044	CDS	282				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00045	CDS	894				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00046	CDS	717				hypothetical protein
Chloroflexi_metaspades_Bin_1_4-contigs_00047	CDS	1227	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
