locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00001	CDS	2058	uvrB			UvrABC system protein B
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00002	CDS	723				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00003	CDS	1077		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00004	CDS	579				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00005	CDS	1488				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00006	CDS	720				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00007	CDS	1332	aspS2	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00008	CDS	744	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00009	CDS	687	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00010	CDS	1386				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00011	CDS	873				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00012	CDS	1344				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00013	CDS	1734	oadA	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00014	CDS	1479	accC	6.3.4.14	COG0439	Biotin carboxylase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00015	CDS	984	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00016	CDS	909	moaA_1	4.1.99.22		GTP 3',8-cyclase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00017	CDS	2316	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00018	CDS	1836				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00019	CDS	948				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00020	CDS	768				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00021	CDS	1671	ppx	3.6.1.11	COG0248	Exopolyphosphatase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00022	CDS	171				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00023	CDS	312				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00024	CDS	618				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00025	CDS	903				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00026	CDS	2199	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00027	CDS	1107	ftsZ_1		COG0206	Cell division protein FtsZ
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00028	CDS	186				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00029	CDS	498				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00030	CDS	801	proB_1	2.7.2.11	COG0263	Glutamate 5-kinase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00031	CDS	1212	amtB			Ammonia channel
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00032	CDS	165	glnB_1		COG0347	Nitrogen regulatory protein P-II
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00033	CDS	660				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00034	CDS	1281	hisD	1.1.1.23		Histidinol dehydrogenase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00035	CDS	162				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00036	CDS	867				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00037	CDS	1713				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00038	CDS	3405				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00039	CDS	1458				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00040	CDS	402				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00041	CDS	651	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00042	CDS	207				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00043	CDS	1929				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00044	CDS	474	cheW		COG0835	Chemotaxis protein CheW
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00045	CDS	873				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00046	CDS	363	cheY		COG0784	Chemotaxis protein CheY
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00047	CDS	1101	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00048	CDS	1164				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00049	CDS	348				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00050	CDS	516				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00051	CDS	429				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00052	CDS	156				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00053	CDS	405				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00054	CDS	855	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00055	CDS	384				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00056	CDS	678	cbiM		COG0310	Cobalt transport protein CbiM
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00057	CDS	300				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00058	CDS	768	cbiQ		COG0619	Cobalt transport protein CbiQ
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00059	CDS	774	nfo_1	3.1.21.2		endonuclease 4
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00060	CDS	438				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00061	CDS	540				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00062	CDS	1188	pyrF			Orotidine 5'-phosphate decarboxylase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00063	CDS	669	tpiA			Triosephosphate isomerase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00064	CDS	702		2.1.1.-	COG0565	putative tRNA/rRNA methyltransferase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00065	CDS	492				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00066	CDS	366				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00067	CDS	1356	purB	4.3.2.2		Adenylosuccinate lyase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00068	CDS	924				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00069	CDS	249				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00070	CDS	696				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00071	CDS	537				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00072	CDS	249				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00073	CDS	135				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00074	CDS	1122	bspRIM	2.1.1.37		Modification methylase BspRI
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00075	CDS	237				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00076	CDS	291				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00077	CDS	1218	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00078	CDS	741	cmoA	2.1.3.-		Carboxy-S-adenosyl-L-methionine synthase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00079	tRNA	77				tRNA-Lys(ttt)
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00080	CDS	1320	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00081	CDS	636	der			GTPase Der
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00082	CDS	360				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00083	CDS	1194				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00084	CDS	321				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00085	CDS	753	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00086	CDS	609	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00087	CDS	1335	selD	2.7.9.3		Selenide, water dikinase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00088	CDS	819				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00089	CDS	795				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00090	CDS	1197	glmU		COG1207	Bifunctional protein GlmU
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00091	CDS	1845	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00092	CDS	1212	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00093	CDS	1311				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00094	CDS	1611				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00095	CDS	738				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00096	CDS	801				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00097	CDS	660				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00098	CDS	3138				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00099	CDS	903				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00100	CDS	933				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00101	CDS	1254				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00102	CDS	291				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00103	CDS	1212				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00104	CDS	1920	uvrC		COG0322	UvrABC system protein C
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00105	CDS	1314	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00106	CDS	921	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00107	CDS	996	trxB	1.8.1.9	COG0492	Thioredoxin reductase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00108	CDS	1143		4.1.2.27	COG0076	putative sphingosine-1-phosphate lyase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00109	CDS	792	larE	4.4.1.37	COG1606	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00110	CDS	1116				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00111	CDS	1983	rqcH			Rqc2 RqcH
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00112	CDS	675	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00113	CDS	624				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00114	CDS	279				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00115	CDS	540				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00116	CDS	450				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00117	CDS	1233	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00118	CDS	1377				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00119	CDS	669				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00120	CDS	849				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_1_1_1-contigs_00121	CDS	540	fbiB_1		COG0778	Bifunctional F420 biosynthesis protein FbiB
