locus_tag	ftype	length_bp	gene	EC_number	COG	product
WOR-3_metaspades_Bin_1-contigs_00001	CDS	369				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00002	CDS	417				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00003	CDS	222	nfuA			Fe/S biogenesis protein NfuA
WOR-3_metaspades_Bin_1-contigs_00004	tRNA	76				tRNA-Ala(cgc)
WOR-3_metaspades_Bin_1-contigs_00005	CDS	1386				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00006	CDS	864	nfo	3.1.21.2	COG0648	putative endonuclease 4
WOR-3_metaspades_Bin_1-contigs_00007	CDS	1404		5.1.1.21	COG0160	Isoleucine 2-epimerase
WOR-3_metaspades_Bin_1-contigs_00008	CDS	321				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00009	CDS	978	glmU_1	2.7.7.23		Bifunctional protein GlmU
WOR-3_metaspades_Bin_1-contigs_00010	CDS	1155	metK	2.5.1.6		S-adenosylmethionine synthase
WOR-3_metaspades_Bin_1-contigs_00011	CDS	510				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00012	CDS	318	rplU		COG0261	50S ribosomal protein L21
WOR-3_metaspades_Bin_1-contigs_00013	CDS	330				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00014	CDS	765	pgk/tpi_1		COG0126	Bifunctional PGK/TIM
WOR-3_metaspades_Bin_1-contigs_00015	CDS	669	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
WOR-3_metaspades_Bin_1-contigs_00016	CDS	471	rpsG		COG0049	30S ribosomal protein S7
WOR-3_metaspades_Bin_1-contigs_00017	CDS	795				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00018	CDS	1710	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
WOR-3_metaspades_Bin_1-contigs_00019	CDS	318				hypothetical protein
WOR-3_metaspades_Bin_1-contigs_00020	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
