locus_tag	ftype	length_bp	gene	EC_number	COG	product
Natronincolaceae_metaspades_Bin_1_1-contigs_00001	CDS	2073	fusA		COG0480	Elongation factor G
Natronincolaceae_metaspades_Bin_1_1-contigs_00002	CDS	471	rpsG			30S ribosomal protein S7
Natronincolaceae_metaspades_Bin_1_1-contigs_00003	CDS	420	rpsL		COG0048	30S ribosomal protein S12
Natronincolaceae_metaspades_Bin_1_1-contigs_00004	CDS	243	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00005	CDS	3501	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
Natronincolaceae_metaspades_Bin_1_1-contigs_00006	CDS	3678	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
Natronincolaceae_metaspades_Bin_1_1-contigs_00007	CDS	309				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00008	CDS	360	rplL			50S ribosomal protein L7/L12
Natronincolaceae_metaspades_Bin_1_1-contigs_00009	CDS	507	rplJ		COG0244	50S ribosomal protein L10
Natronincolaceae_metaspades_Bin_1_1-contigs_00010	CDS	699	rplA			50S ribosomal protein L1
Natronincolaceae_metaspades_Bin_1_1-contigs_00011	CDS	426	rplK		COG0080	50S ribosomal protein L11
Natronincolaceae_metaspades_Bin_1_1-contigs_00012	CDS	519	nusG		COG0250	Transcription termination/antitermination protein NusG
Natronincolaceae_metaspades_Bin_1_1-contigs_00013	CDS	219	secE		COG0690	Protein translocase subunit SecE
Natronincolaceae_metaspades_Bin_1_1-contigs_00014	CDS	1194	tuf		COG0050	Elongation factor Tu
Natronincolaceae_metaspades_Bin_1_1-contigs_00015	CDS	639	sigH		COG1595	RNA polymerase sigma-H factor
Natronincolaceae_metaspades_Bin_1_1-contigs_00016	CDS	507				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00017	CDS	738		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
Natronincolaceae_metaspades_Bin_1_1-contigs_00018	CDS	771	thyX	2.1.1.148		Flavin-dependent thymidylate synthase
Natronincolaceae_metaspades_Bin_1_1-contigs_00019	CDS	390				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00020	CDS	177				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00021	CDS	426	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
Natronincolaceae_metaspades_Bin_1_1-contigs_00022	CDS	468				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00023	CDS	2418				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00024	CDS	378				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00025	CDS	528				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00026	CDS	675				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00027	CDS	843				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00028	CDS	594				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00029	CDS	612				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00030	CDS	675				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00031	CDS	114				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00032	CDS	357				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00033	CDS	282				hypothetical protein
Natronincolaceae_metaspades_Bin_1_1-contigs_00034	CDS	120				hypothetical protein
