locus_tag	ftype	length_bp	gene	EC_number	COG	product
Desulfotomaculum_metaspades_Bin_1_1-contigs_00001	CDS	1113	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
Desulfotomaculum_metaspades_Bin_1_1-contigs_00002	CDS	300				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00003	CDS	462				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00004	CDS	309				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00005	CDS	108				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00006	CDS	180				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00007	CDS	552				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00008	CDS	813	phnPP_1	3.1.4.57	COG0613	Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase
Desulfotomaculum_metaspades_Bin_1_1-contigs_00009	CDS	1083				hypothetical protein
Desulfotomaculum_metaspades_Bin_1_1-contigs_00010	CDS	978	fliM		COG1868	Flagellar motor switch protein FliM
Desulfotomaculum_metaspades_Bin_1_1-contigs_00011	CDS	366	cheY		COG0784	Chemotaxis protein CheY
Desulfotomaculum_metaspades_Bin_1_1-contigs_00012	CDS	633	cheC	3.-.-.-	COG1776	CheY-P phosphatase CheC
Desulfotomaculum_metaspades_Bin_1_1-contigs_00013	CDS	768	cheR	2.1.1.80		Chemotaxis protein methyltransferase
Desulfotomaculum_metaspades_Bin_1_1-contigs_00014	CDS	486	cheD	3.5.1.44	COG1871	Chemoreceptor glutamine deamidase CheD
Desulfotomaculum_metaspades_Bin_1_1-contigs_00015	CDS	780	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
Desulfotomaculum_metaspades_Bin_1_1-contigs_00016	CDS	768	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
Desulfotomaculum_metaspades_Bin_1_1-contigs_00017	CDS	786	fliA		COG1191	RNA polymerase sigma factor FliA
Desulfotomaculum_metaspades_Bin_1_1-contigs_00018	CDS	765				hypothetical protein
