MBA5941720.1	K00194
MBA5941721.1	K17870
MBA5941722.1	
MBA5941723.1	K17828
MBA5941724.1	
MBA5941725.1	K00401
MBA5941726.1	K00402
MBA5941727.1	K00399
MBA5941728.1	K00986
MBA5941729.1	
MBA5941730.1	K00971
MBA5941731.1	
MBA5941732.1	K04759
MBA5941733.1	
MBA5941734.1	
MBA5941735.1	
MBA5941736.1	
MBA5941737.1	
MBA5941738.1	K00196
MBA5941739.1	K01915
MBA5941740.1	
MBA5941741.1	K05588
MBA5941742.1	K01265
MBA5941743.1	K20215
MBA5941744.1	K01887
MBA5941745.1	K01814
MBA5941746.1	
MBA5941747.1	
MBA5941748.1	
MBA5941749.1	
MBA5941750.1	K07027
MBA5941751.1	
MBA5941752.1	
MBA5941753.1	
MBA5941754.1	K00096
MBA5941755.1	
MBA5941756.1	
MBA5941757.1	K00794
MBA5941758.1	K02227
MBA5941759.1	
MBA5941760.1	K09740
MBA5941761.1	K03147
MBA5941762.1	
MBA5941763.1	
MBA5941764.1	K03593
MBA5941765.1	K06915
MBA5941766.1	
MBA5941767.1	
MBA5941768.1	
MBA5941769.1	K03540
MBA5941770.1	K20885
MBA5941771.1	K00400
MBA5941772.1	K08975
MBA5941773.1	K00764
MBA5941774.1	
MBA5941775.1	K13280
MBA5941776.1	K02866
MBA5941777.1	K01940
MBA5941778.1	K06989
MBA5941779.1	K14654
MBA5941780.1	
MBA5941781.1	K13812
MBA5941782.1	K25027
MBA5941783.1	K02233
MBA5941784.1	K02961
MBA5941785.1	K03538
MBA5941786.1	K03113
MBA5941787.1	K02904
MBA5941788.1	K02982
MBA5941789.1	K02890
MBA5941790.1	K02965
MBA5941791.1	K02886
MBA5941792.1	K02892
MBA5941793.1	K02930
MBA5941794.1	K02906
MBA5941795.1	
MBA5941796.1	
MBA5941797.1	K01512
MBA5941798.1	K06859
MBA5941799.1	K22699
MBA5941800.1	K02877
MBA5941801.1	K04796
MBA5941802.1	K02922
MBA5941803.1	K03238
MBA5941804.1	
MBA5941805.1	
MBA5941806.1	K01689
MBA5941807.1	K00058
MBA5941808.1	K00821
MBA5941809.1	K04773
MBA5941810.1	
MBA5941811.1	
MBA5941812.1	
MBA5941813.1	K01895
MBA5941814.1	K02051
MBA5941815.1	K02050
MBA5941816.1	K02049
MBA5941817.1	K03105
MBA5941818.1	
MBA5941819.1	K02006
MBA5941820.1	K07991
MBA5941821.1	
MBA5941822.1	K01881
MBA5941823.1	
MBA5941824.1	K02858
MBA5941825.1	K07732
MBA5941826.1	K01069
MBA5941827.1	
MBA5941828.1	K07137
MBA5941829.1	K06984
MBA5941830.1	
MBA5941831.1	K00809
MBA5941832.1	K05569
MBA5941833.1	K05570
MBA5941834.1	K05571
MBA5941835.1	
MBA5941836.1	
MBA5941837.1	
MBA5941838.1	K05567
MBA5941839.1	
MBA5941840.1	K18023
MBA5941841.1	K18017
MBA5941842.1	K18016
MBA5941843.1	
MBA5941844.1	
MBA5941845.1	
MBA5941846.1	
MBA5941847.1	
MBA5941848.1	K25034
MBA5941849.1	
MBA5941850.1	K06885
MBA5941851.1	K00054
MBA5941852.1	K01698
MBA5941853.1	
MBA5941854.1	K01170
MBA5941855.1	K00986
MBA5941856.1	
MBA5941857.1	K03076
MBA5941858.1	K02039
MBA5941859.1	K02036
MBA5941860.1	K02038
MBA5941861.1	K02037
MBA5941862.1	
MBA5941863.1	K02040
MBA5941864.1	K06874
MBA5941865.1	
MBA5941866.1	K01251
MBA5941867.1	K03051
MBA5941868.1	K07572
MBA5941869.1	K01951
MBA5941870.1	K10206
MBA5941871.1	
MBA5941872.1	
MBA5941873.1	
MBA5941874.1	
MBA5941875.1	
MBA5941876.1	K07321
MBA5941877.1	
MBA5941878.1	K07446
MBA5941879.1	K05919
MBA5941880.1	K03695
MBA5941881.1	K01733
MBA5941882.1	K01493
MBA5941883.1	K03602
MBA5941884.1	K00930
MBA5941885.1	K01496
MBA5941886.1	K01756
MBA5941887.1	K01845
MBA5941888.1	K01652
MBA5941889.1	K01653
MBA5941890.1	K06950
MBA5941891.1	K03136
MBA5941892.1	K12589
MBA5941893.1	K11600
MBA5941894.1	K03679
MBA5941895.1	K14574
MBA5941896.1	K03432
MBA5941897.1	
MBA5941898.1	
MBA5941899.1	K02342
MBA5941900.1	K00672
MBA5941901.1	K03168
MBA5941902.1	K02191
MBA5941903.1	K03394
MBA5941904.1	K05936
MBA5941905.1	
MBA5941906.1	K12960
MBA5941907.1	K01677
MBA5941908.1	
MBA5941909.1	
MBA5941910.1	K07583
MBA5941911.1	K01657
MBA5941912.1	K01658
MBA5941913.1	
MBA5941914.1	
MBA5941915.1	K03785
MBA5941916.1	K00767
MBA5941917.1	K12574
MBA5941918.1	K02232
MBA5941919.1	K02224
MBA5941920.1	K05567
MBA5941921.1	K05566
MBA5941922.1	K05566
MBA5941923.1	
MBA5941924.1	K05571
MBA5941925.1	K05570
MBA5941926.1	K05569
MBA5941927.1	K00860
MBA5941928.1	K03151
MBA5941929.1	
MBA5941930.1	
MBA5941931.1	
MBA5941932.1	K06913
MBA5941933.1	K00986
MBA5941934.1	K23144
MBA5941935.1	K15778
MBA5941936.1	K02319
MBA5941937.1	K02912
MBA5941938.1	
MBA5941939.1	
MBA5941940.1	
MBA5941941.1	K10823
MBA5941942.1	K02031
MBA5941943.1	K02034
MBA5941944.1	K02033
MBA5941945.1	K02316
MBA5941946.1	K07159
MBA5941947.1	K11130
MBA5941948.1	
MBA5941949.1	
MBA5941950.1	K02427
MBA5941951.1	K07089
MBA5941952.1	K03517
MBA5941953.1	K06864
MBA5941954.1	K11717
MBA5941955.1	
MBA5941956.1	
MBA5941957.1	K23264
MBA5941958.1	K01867
MBA5941959.1	K02007
MBA5941960.1	K02008
MBA5941961.1	K09730
MBA5941962.1	
MBA5941963.1	
MBA5941964.1	K00013
MBA5941965.1	
MBA5941966.1	K03106
MBA5941967.1	K18532
MBA5941968.1	K00852
MBA5941969.1	K02188
MBA5941970.1	
MBA5941971.1	K03242
MBA5941972.1	K00248
MBA5941973.1	K01736
MBA5941974.1	K00793
MBA5941975.1	K23976
MBA5941976.1	K09717
MBA5941977.1	K04799
MBA5941978.1	
MBA5941979.1	K06927
MBA5941980.1	
MBA5941981.1	K02889
MBA5941982.1	K05947
MBA5941983.1	
MBA5941984.1	K04655
MBA5941985.1	
MBA5941986.1	K03420
MBA5941987.1	K07462
MBA5941988.1	
MBA5941989.1	K00858
MBA5941990.1	K03626
MBA5941991.1	K03750
	K07219
MBA5941992.1	
MBA5941993.1	K03638
MBA5941994.1	K00800
MBA5941995.1	K17830
MBA5941996.1	
MBA5941997.1	K23288
MBA5941998.1	K01915
MBA5941999.1	K04069
MBA5942000.1	
MBA5942001.1	
MBA5942002.1	K01174
MBA5942003.1	
MBA5942004.1	
MBA5942005.1	
MBA5942006.1	K01486
MBA5942007.1	
MBA5942008.1	K04069
MBA5942009.1	K10907
MBA5942010.1	K09759
MBA5942011.1	K06898
MBA5942012.1	K00946
MBA5942013.1	
MBA5942014.1	K02303
MBA5942015.1	K01992
MBA5942016.1	
MBA5942017.1	
MBA5942018.1	K06932
MBA5942019.1	K07033
MBA5942020.1	K09013
MBA5942021.1	K13993
MBA5942022.1	K01945
MBA5942023.1	K04798
MBA5942024.1	K14415
MBA5942025.1	K00945
MBA5942026.1	K11261
MBA5942027.1	
MBA5942028.1	K00003
MBA5942029.1	K01465
MBA5942030.1	K00768
MBA5942031.1	K00952
MBA5942032.1	K07398
MBA5942033.1	
MBA5942034.1	K03742
MBA5942035.1	K03053
MBA5942036.1	K13798
MBA5942037.1	K03041
MBA5942038.1	K03042
MBA5942039.1	
MBA5942040.1	K02600
MBA5942041.1	K02950
MBA5942042.1	K02992
MBA5942043.1	
MBA5942044.1	
MBA5942045.1	
MBA5942046.1	K02122
MBA5942047.1	
MBA5942048.1	
MBA5942049.1	K13038
MBA5942050.1	
MBA5942051.1	
MBA5942052.1	K04566
MBA5942053.1	K03546
MBA5942054.1	
MBA5942055.1	K02588
MBA5942056.1	K04720
MBA5942057.1	K01703
MBA5942058.1	K07052
MBA5942059.1	K02469
MBA5942060.1	K05595
MBA5942061.1	K04801
MBA5942062.1	
MBA5942063.1	K19954
MBA5942064.1	
MBA5942065.1	
MBA5942066.1	
MBA5942067.1	
MBA5942068.1	K07739
MBA5942069.1	
MBA5942070.1	
MBA5942071.1	K14941
MBA5942072.1	K03047
MBA5942073.1	K02948
MBA5942074.1	K02986
MBA5942075.1	K02952
MBA5942076.1	K11131
MBA5942077.1	K05592
MBA5942078.1	K02921
MBA5942079.1	
MBA5942080.1	
MBA5942081.1	
MBA5942082.1	
MBA5942083.1	K00584
MBA5942084.1	
MBA5942085.1	K06863
MBA5942086.1	K00931
MBA5942087.1	
MBA5942088.1	K21611
MBA5942089.1	K01866
MBA5942090.1	
MBA5942091.1	K02434
MBA5942092.1	
MBA5942093.1	
MBA5942094.1	K02230
MBA5942095.1	K11212
MBA5942096.1	
MBA5942097.1	
MBA5942098.1	
MBA5942099.1	K07587
MBA5942100.1	K01823
MBA5942101.1	K15865
MBA5942102.1	
MBA5942103.1	K18779
MBA5942104.1	K03237
MBA5942105.1	K02978
MBA5942106.1	K02929
MBA5942107.1	K09723
MBA5942108.1	
MBA5942109.1	K00765
MBA5942110.1	
MBA5942111.1	
MBA5942112.1	
MBA5942113.1	K16785
MBA5942114.1	K16787
MBA5942115.1	K16786
MBA5942116.1	
MBA5942117.1	
MBA5942118.1	
MBA5942119.1	
MBA5942120.1	K13525
MBA5942121.1	
MBA5942122.1	K18672
MBA5942123.1	K06982
MBA5942124.1	K02492
MBA5942125.1	
MBA5942126.1	K22012
MBA5942127.1	K23269
MBA5942128.1	
MBA5942129.1	K04076
MBA5942130.1	K00928
MBA5942131.1	K22447
MBA5942132.1	K03531
MBA5942133.1	K04751
MBA5942134.1	K07579
MBA5942135.1	K03243
MBA5942136.1	K03686
MBA5942137.1	
MBA5942138.1	K01975
MBA5942139.1	K15888
MBA5942140.1	K02323
MBA5942141.1	K03671
MBA5942142.1	
MBA5942143.1	
MBA5942144.1	
MBA5942145.1	K02927
MBA5942146.1	K04656
MBA5942147.1	K04653
MBA5942148.1	K00549
MBA5942149.1	
MBA5942150.1	
MBA5942151.1	
MBA5942152.1	
MBA5942153.1	
MBA5942154.1	
MBA5942155.1	K00620
MBA5942156.1	
MBA5942157.1	
MBA5942158.1	K01870
MBA5942159.1	K13831
MBA5942160.1	K08971
MBA5942161.1	K01817
MBA5942162.1	K01696
MBA5942163.1	K01695
MBA5942164.1	
MBA5942165.1	K03404
MBA5942166.1	K02015
MBA5942167.1	K02013
MBA5942168.1	K02435
MBA5942169.1	K02977
MBA5942170.1	K02974
MBA5942171.1	K03050
MBA5942172.1	K03049
MBA5942173.1	K01007
MBA5942174.1	
MBA5942175.1	K05942
MBA5942176.1	K00812
MBA5942177.1	K04479
MBA5942178.1	
MBA5942179.1	K01262
MBA5942180.1	
MBA5942181.1	
MBA5942182.1	
MBA5942183.1	K00341
MBA5942184.1	
MBA5942185.1	
MBA5942186.1	K14088
MBA5942187.1	K00332
MBA5942188.1	
MBA5942189.1	K00337
MBA5942190.1	
MBA5942191.1	K00441
MBA5942192.1	K07076
MBA5942193.1	
MBA5942194.1	
MBA5942195.1	K13018
MBA5942196.1	
MBA5942197.1	K13010
MBA5942198.1	K02470
MBA5942199.1	K11261
MBA5942200.1	
MBA5942201.1	
MBA5942202.1	
MBA5942203.1	K07333
MBA5942204.1	K07332
MBA5942205.1	K07331
MBA5942206.1	
MBA5942207.1	
MBA5942208.1	
MBA5942209.1	K07325
MBA5942210.1	
MBA5942211.1	
MBA5942212.1	
MBA5942213.1	
MBA5942214.1	
MBA5942215.1	
MBA5942216.1	K03074
MBA5942217.1	
MBA5942218.1	K10844
MBA5942219.1	
MBA5942220.1	K02118
MBA5942221.1	
MBA5942222.1	K02500
MBA5942223.1	K07580
MBA5942224.1	K02995
MBA5942225.1	K08161
MBA5942226.1	
MBA5942227.1	
MBA5942228.1	K03592
MBA5942229.1	
MBA5942230.1	K00400
MBA5942231.1	K24180
MBA5942232.1	K02954
MBA5942233.1	K02994
MBA5942234.1	K03926
MBA5942235.1	
MBA5942236.1	
MBA5942237.1	
MBA5942238.1	
MBA5942239.1	K07557
MBA5942240.1	K01622
MBA5942241.1	
MBA5942242.1	
MBA5942243.1	K21306
MBA5942244.1	K03231
MBA5942245.1	
MBA5942246.1	K05772
MBA5942247.1	K05773
MBA5942248.1	K06857
MBA5942249.1	K24410
MBA5942250.1	K24409
MBA5942251.1	K04069
MBA5942252.1	K06920
MBA5942253.1	K00014
MBA5942254.1	K07086
MBA5942255.1	
MBA5942256.1	K03421
MBA5942257.1	
MBA5942258.1	
MBA5942259.1	K01873
MBA5942260.1	K04794
MBA5942261.1	
MBA5942262.1	K01872
MBA5942263.1	K03499
MBA5942264.1	
MBA5942265.1	
MBA5942266.1	
MBA5942267.1	
MBA5942268.1	K24447
MBA5942269.1	K07027
MBA5942270.1	K23975
MBA5942271.1	
MBA5942272.1	
MBA5942273.1	K02869
MBA5942274.1	
MBA5942275.1	K07144
MBA5942276.1	
MBA5942277.1	K05942
MBA5942278.1	K03264
MBA5942279.1	K02910
MBA5942280.1	K01737
MBA5942281.1	
MBA5942282.1	
MBA5942283.1	
MBA5942284.1	K02016
MBA5942285.1	K00626
MBA5942286.1	K06921
MBA5942287.1	K15429
MBA5942288.1	K00134
MBA5942289.1	K00927
MBA5942290.1	K17105
MBA5942291.1	
MBA5942292.1	
MBA5942293.1	K05966
MBA5942294.1	K24393
MBA5942295.1	K05979
