locus_tag	ftype	length_bp	gene	EC_number	COG	product
Chloroflexi_metaspades_Bin_3_1_1-contigs_00001	CDS	618	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
Chloroflexi_metaspades_Bin_3_1_1-contigs_00002	CDS	162				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00003	CDS	348				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00004	CDS	1560		3.5.1.4		Amidase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00005	CDS	267	rpsO		COG0184	30S ribosomal protein S15
Chloroflexi_metaspades_Bin_3_1_1-contigs_00006	CDS	618				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00007	CDS	1053	yjmC_1	1.1.1.-	COG2055	putative oxidoreductase YjmC
Chloroflexi_metaspades_Bin_3_1_1-contigs_00008	tRNA	75				tRNA-Arg(ccg)
Chloroflexi_metaspades_Bin_3_1_1-contigs_00009	CDS	411				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00010	CDS	885	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00011	CDS	1377		2.6.1.-	COG0161	putative aminotransferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00012	CDS	801				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00013	CDS	240				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00014	CDS	342				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00015	CDS	2973	uvrA			UvrABC system protein A
Chloroflexi_metaspades_Bin_3_1_1-contigs_00016	CDS	642	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
Chloroflexi_metaspades_Bin_3_1_1-contigs_00017	CDS	1263		3.4.24.-	COG0612	putative zinc protease
Chloroflexi_metaspades_Bin_3_1_1-contigs_00018	CDS	789	yisK_1		COG0179	putative protein YisK
Chloroflexi_metaspades_Bin_3_1_1-contigs_00019	CDS	1011	fgd_2	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00020	CDS	2088	fadF	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
Chloroflexi_metaspades_Bin_3_1_1-contigs_00021	CDS	249				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00022	CDS	381				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00023	CDS	846			COG1073	putative protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00024	CDS	306				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00025	CDS	651	rex1		COG2344	Redox-sensing transcriptional repressor Rex 1
Chloroflexi_metaspades_Bin_3_1_1-contigs_00026	CDS	438	atpC		COG0355	ATP synthase epsilon chain
Chloroflexi_metaspades_Bin_3_1_1-contigs_00027	CDS	1398	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
Chloroflexi_metaspades_Bin_3_1_1-contigs_00028	CDS	825	atpG		COG0224	ATP synthase gamma chain
Chloroflexi_metaspades_Bin_3_1_1-contigs_00029	CDS	1512	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
Chloroflexi_metaspades_Bin_3_1_1-contigs_00030	CDS	549	atpH_1		COG0712	ATP synthase subunit delta
Chloroflexi_metaspades_Bin_3_1_1-contigs_00031	CDS	516	atpF		COG0711	ATP synthase subunit b
Chloroflexi_metaspades_Bin_3_1_1-contigs_00032	CDS	270	atpH_2			ATP synthase subunit c
Chloroflexi_metaspades_Bin_3_1_1-contigs_00033	CDS	993	atpB			ATP synthase subunit a
Chloroflexi_metaspades_Bin_3_1_1-contigs_00034	CDS	234				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00035	CDS	564			COG1259	putative protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00036	CDS	2484	lon	3.4.21.53		Lon protease
Chloroflexi_metaspades_Bin_3_1_1-contigs_00037	CDS	516				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00038	CDS	495	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00039	CDS	648	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
Chloroflexi_metaspades_Bin_3_1_1-contigs_00040	CDS	924	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00041	CDS	1254	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00042	CDS	894	mlhB_1	3.1.1.83		Monoterpene epsilon-lactone hydrolase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00043	CDS	1665	bhbA_1	5.4.99.2		Methylmalonyl-CoA mutase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00044	CDS	2040	fusA_1		COG0480	Elongation factor G
Chloroflexi_metaspades_Bin_3_1_1-contigs_00045	CDS	462	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
Chloroflexi_metaspades_Bin_3_1_1-contigs_00046	CDS	231				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00047	CDS	312				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00048	CDS	549				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00049	CDS	2292	hcrA_1	1.3.7.9		4-hydroxybenzoyl-CoA reductase subunit alpha
Chloroflexi_metaspades_Bin_3_1_1-contigs_00050	CDS	1227	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00051	CDS	900	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
Chloroflexi_metaspades_Bin_3_1_1-contigs_00052	CDS	741				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00053	CDS	732	pytH	3.1.1.88		Pyrethroid hydrolase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00054	CDS	660				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00055	CDS	972	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
Chloroflexi_metaspades_Bin_3_1_1-contigs_00056	CDS	582				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00057	CDS	966			COG3336	putative protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00058	CDS	1101	msuD_1	1.14.14.5	COG2141	Methanesulfonate monooxygenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00059	CDS	1416	aam_1	3.5.1.13	COG0154	Acylamidase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00060	CDS	1023				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00061	CDS	741				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00062	CDS	921	trxB_1	1.8.1.9		Thioredoxin reductase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00063	CDS	1071		5.1.3.2	COG1088	UDP-glucose 4-epimerase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00064	CDS	897	garR_1	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00065	CDS	693				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00066	CDS	1491				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00067	CDS	501	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
Chloroflexi_metaspades_Bin_3_1_1-contigs_00068	CDS	510	ada_2		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
Chloroflexi_metaspades_Bin_3_1_1-contigs_00069	CDS	447				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00070	CDS	1200	dinB	2.7.7.7		DNA polymerase IV
Chloroflexi_metaspades_Bin_3_1_1-contigs_00071	CDS	420				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00072	CDS	165				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00073	CDS	3192	dnaE2	2.7.7.7	COG0587	Error-prone DNA polymerase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00074	CDS	192				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00075	CDS	1452		3.5.2.-		D-hydantoinase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00076	CDS	1593				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00077	CDS	1494	hpaH_1	1.14.14.8	COG2368	Anthranilate 3-monooxygenase oxygenase component
Chloroflexi_metaspades_Bin_3_1_1-contigs_00078	CDS	1203	pksS_1	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
Chloroflexi_metaspades_Bin_3_1_1-contigs_00079	CDS	999	ssuD_1	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00080	CDS	231	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
Chloroflexi_metaspades_Bin_3_1_1-contigs_00081	CDS	384				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00082	CDS	759	camK_1	3.7.1.18		6-oxocamphor hydrolase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00083	CDS	1539	betA_1	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00084	CDS	1128				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00085	CDS	804	nadX	1.4.1.21		L-aspartate dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00086	CDS	1005	glnB_1	6.3.1.2		Glutamine synthetase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00087	CDS	1656	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
Chloroflexi_metaspades_Bin_3_1_1-contigs_00088	CDS	258				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00089	tRNA	76				tRNA-Asp(gtc)
Chloroflexi_metaspades_Bin_3_1_1-contigs_00090	CDS	597				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00091	CDS	984	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
Chloroflexi_metaspades_Bin_3_1_1-contigs_00092	CDS	789				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00093	CDS	1170				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00094	CDS	1305	dgdA	4.1.1.64		2,2-dialkylglycine decarboxylase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00095	CDS	450				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00096	CDS	792	ptxB			putative phosphite transport system-binding protein PtxB
Chloroflexi_metaspades_Bin_3_1_1-contigs_00097	CDS	954				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00098	CDS	1545	betA_2	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00099	CDS	498				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00100	CDS	1710				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00101	CDS	207	grdB_1	1.21.4.2		Glycine reductase complex component B subunit gamma
Chloroflexi_metaspades_Bin_3_1_1-contigs_00102	CDS	1041	grdB_2	1.21.4.2		Glycine reductase complex component B subunit gamma
Chloroflexi_metaspades_Bin_3_1_1-contigs_00103	CDS	1263				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00104	CDS	1530	grdC	1.21.4.2		Glycine/sarcosine/betaine reductase complex component C subunit beta
Chloroflexi_metaspades_Bin_3_1_1-contigs_00105	CDS	129	grdA_1	1.21.4.2		Glycine/sarcosine/betaine reductase complex component A
Chloroflexi_metaspades_Bin_3_1_1-contigs_00106	CDS	258	grdA_2	1.21.4.2		Glycine/sarcosine/betaine reductase complex component A
Chloroflexi_metaspades_Bin_3_1_1-contigs_00107	CDS	1641	otemo	1.14.13.160		2-oxo-Delta(3)-4,5,5-trimethylcyclopentenylacetyl-CoA monooxygenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00108	CDS	1356				L-lactate transporter
Chloroflexi_metaspades_Bin_3_1_1-contigs_00109	CDS	495				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00110	CDS	1572		3.5.1.83		N-acyl-D-aspartate deacylase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00111	CDS	1239	ylmB	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00112	CDS	708				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00113	CDS	1038	afr_1	1.1.1.292		1,5-anhydro-D-fructose reductase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00114	CDS	1434	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
Chloroflexi_metaspades_Bin_3_1_1-contigs_00115	CDS	183				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00116	CDS	525				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00117	CDS	138				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00118	CDS	900	fgd_3	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00119	CDS	819				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00120	CDS	846				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00121	CDS	795		4.2.1.-	COG4336	Putative hydro-lyase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00122	CDS	666				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00123	CDS	1080	serC	2.6.1.52		Phosphoserine aminotransferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00124	CDS	2232	glcB	2.3.3.9	COG2225	Malate synthase G
Chloroflexi_metaspades_Bin_3_1_1-contigs_00125	CDS	1194	luxA_1	1.14.14.3		Alkanal monooxygenase alpha chain
Chloroflexi_metaspades_Bin_3_1_1-contigs_00126	CDS	291				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00127	CDS	228				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00128	CDS	945				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00129	CDS	525	groL_1		COG0459	60 kDa chaperonin
Chloroflexi_metaspades_Bin_3_1_1-contigs_00130	CDS	702	pcaI	2.8.3.6	COG1788	3-oxoadipate CoA-transferase subunit A
Chloroflexi_metaspades_Bin_3_1_1-contigs_00131	CDS	1395				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00132	CDS	678	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
Chloroflexi_metaspades_Bin_3_1_1-contigs_00133	CDS	792	thiG	2.8.1.10	COG2022	Thiazole synthase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00134	CDS	696	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00135	CDS	204				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00136	CDS	255				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00137	CDS	699	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
Chloroflexi_metaspades_Bin_3_1_1-contigs_00138	CDS	3474				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00139	CDS	2310	hcrA_2	1.3.7.9		4-hydroxybenzoyl-CoA reductase subunit alpha
Chloroflexi_metaspades_Bin_3_1_1-contigs_00140	CDS	966	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
Chloroflexi_metaspades_Bin_3_1_1-contigs_00141	CDS	987	hpr	1.1.1.81	COG1052	Hydroxypyruvate reductase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00142	CDS	1050	luxA_2	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
Chloroflexi_metaspades_Bin_3_1_1-contigs_00143	CDS	1218	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00144	CDS	813				hypothetical protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00145	CDS	1056	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00146	CDS	720	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
Chloroflexi_metaspades_Bin_3_1_1-contigs_00147	CDS	870	bcpA	2.7.8.23		Carboxyvinyl-carboxyphosphonate phosphorylmutase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00148	CDS	519	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
Chloroflexi_metaspades_Bin_3_1_1-contigs_00149	CDS	1218	bbsF_1	2.8.3.15		Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF
Chloroflexi_metaspades_Bin_3_1_1-contigs_00150	CDS	1239	bbsE_1	2.8.3.15		Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE
Chloroflexi_metaspades_Bin_3_1_1-contigs_00151	CDS	2148			COG4867	putative protein
Chloroflexi_metaspades_Bin_3_1_1-contigs_00152	CDS	561	pyrR			Bifunctional protein pyrR
Chloroflexi_metaspades_Bin_3_1_1-contigs_00153	CDS	1023	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
Chloroflexi_metaspades_Bin_3_1_1-contigs_00154	CDS	1374	pyrC	3.5.2.3	COG0044	Dihydroorotase
