locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00001	CDS	1374				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00002	CDS	1008	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00003	CDS	291	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00004	CDS	1164	argJ			Arginine biosynthesis bifunctional protein ArgJ
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00005	CDS	378	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00006	CDS	321				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00007	CDS	213				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00008	CDS	129				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00009	CDS	651				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00010	CDS	186				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00011	CDS	1887	GATB	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00012	CDS	1245	ansA	3.5.1.1	COG0252	L-asparaginase 1
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00013	CDS	1437	argH	4.3.2.1	COG0165	Argininosuccinate lyase
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00014	CDS	885				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00015	CDS	186				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00016	CDS	150				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00017	CDS	129				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00018	CDS	861	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00019	CDS	1098	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00020	CDS	3300	carB	6.3.5.5		Carbamoyl-phosphate synthase large chain
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00021	CDS	183				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00022	CDS	261				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00023	CDS	384				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00024	CDS	1356	acsC		COG1456	Corrinoid/iron-sulfur protein large subunit
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00025	CDS	1137	acsD		COG2069	Corrinoid/iron-sulfur protein small subunit
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00026	CDS	600				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00027	CDS	777				hypothetical protein
LCMS_allcontigs2_metaspades_Bin_2_1-contigs_00028	CDS	177				hypothetical protein
